common_name,additional_names,latin_name,family,polish_name
Adam-and-Eve,"Arum, Lord-and-Ladies, Wake Robin, Starch Root, Bobbins, Cuckoo Plant","Arum maculatum","Araceae","Obrazkowiec plamisty"
African Wonder Tree,"","Ricinus communis","","Rącznik pospolity"
Alocasia,"Elephant's Ear","Alocasia spp.","Araceae","Alokazja"
Aloe,"","Aloe vera","Liliaceae","Aloes zwyczajny"
Amaryllis,"Many, including: Belladonna lily, Saint Joseph lily, Cape Belladonna, Naked Lady","Amaryllis spp.","Amaryllidaceae","Amarylis"
Ambrosia Mexicana,"Jerusalem Oak, Feather Geranium","Chenopodium botrys","Chenopodiaceae","Komosa piżmowa"
American Bittersweet,"Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet","Celastrus scandens","Celastraceae","Dławisz amerykański"
American Holly,"English Holly, European Holly, Oregon Holly, Inkberry, Winterberry","Ilex opaca","Aquifoliaceae","Ostrokrzew amerykański"
American Mandrake,"Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry","Podophyllum peltatum","Berberidaceae","Stopowiec tarczowaty"
American Yew,"Canada Yew, Canadian Yew","Taxus canadensus","Taxaceae","Cis kanadyjski"
Andromeda Japonica,"Pieris, Lily-of-the-Valley Bush","Pieris japonica","Ericaceae","Pieris japoński"
Angelica Tree,"Hercules' Club, Devil's Walking Stick, Prickly Ash, Prickly Elder","Aralia spinosa","Araliaceae","Aralia kolczasta"
Apple,"Includes crabapples","Malus sylvestrus","Rosaceae","Jabłoń (dzika)"
Apricot,"Group also includes Plum, Peach, Cherry","Prunus armeniaca","Rosaceae","Morela pospolita"
Arrow-Head Vine,"Nephthytis, Green Gold Naphthysis, African Evergreen, Trileaf Wonder","Syngonium podophyllum","Araceae","Zroślicha stopowcowa"
Arum,"Cuckoo-pint, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Wake Robin","Arum maculatum","Araceae","Obrazkowiec plamisty"
Arum Lily,"Calla Lily, Pig Lily, White Arum, Trumpet Lily, Florist's Calla, Garden Calla","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Asian Lily,"Asiatic Lily","Lilium asiatica","Liliaceae","Lilia azjatycka"
Asparagus Fern,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari","Asparagus densiflorus cv sprengeri","Liliaceae","Asparagus Sprengera (Szparag Sprengera)"
Australian Ivy Palm,"Schefflera, Umbrella Tree, Octopus Tree, Starleaf","Brassaia actinophylla","Araliaceae","Szeflera parasolowata (Brasaja)"
Autumn Crocus,"Meadow Saffron","Colchicum autumnale","Liliaceae","Zimowit jesienny"
Azalea,"Rosebay, Rhododendron","Rhododendron spp","Ericaceae","Azalia (Różanecznik)"
